Date,Followers,Impressions,Engagement,Reach
7/1/2024,3000,7500,1200,2500
7/2/2024,3010,7600,1220,2520
7/3/2024,3020,7700,1240,2540
7/4/2024,3030,7800,1260,2560
7/5/2024,3040,7900,1280,2580
7/6/2024,3050,8000,1300,2600
7/7/2024,3060,8100,1320,2620
7/8/2024,3070,8200,1340,2640
7/9/2024,3080,8300,1360,2660
7/10/2024,3090,8400,1380,2680
7/11/2024,3100,8500,1400,2700
7/12/2024,3110,8600,1420,2720
7/13/2024,3120,8700,1440,2740
7/14/2024,3130,8800,1460,2760
7/15/2024,3140,8900,1480,2780
7/16/2024,3150,9000,1500,2800
7/17/2024,3160,9100,1520,2820
7/18/2024,3170,9200,1540,2840
7/19/2024,3180,9300,1560,2860
7/20/2024,3190,9400,1580,2880
7/21/2024,3200,9500,1600,2900
7/22/2024,3210,9600,1620,2920
7/23/2024,3220,9700,1640,2940
7/24/2024,3230,9800,1660,2960
7/25/2024,3240,9900,1680,2980
7/26/2024,3250,10000,1700,3000
7/27/2024,3260,10100,1720,3020
7/28/2024,3270,10200,1740,3040
7/29/2024,3280,10300,1760,3060
7/30/2024,3290,10400,1780,3080
