Date,Total_Time_Spent_Today_Hours,Average_Daily_Time_Hours,Total_Notifications_Today
7/1/2024,4,3.9,25
7/2/2024,4.3,3.9,26
7/3/2024,4.3,4,27
7/4/2024,4.6,4,28
7/5/2024,4.6,4.1,29
7/6/2024,4.9,4.1,30
7/7/2024,5.1,4.2,31
7/8/2024,5,4.3,32
7/9/2024,5.2,4.3,33
7/10/2024,5.4,4.4,34
7/11/2024,5.5,4.4,35
7/12/2024,5.6,4.5,36
7/13/2024,5.9,4.5,37
7/14/2024,6,4.6,38
7/15/2024,6.2,4.6,39
7/16/2024,6.3,4.7,40
7/17/2024,6.5,4.7,41
7/18/2024,6.7,4.8,42
7/19/2024,6.8,4.8,43
7/20/2024,7,4.9,44
7/21/2024,7.2,4.9,45
7/22/2024,7.3,5,46
7/23/2024,7.5,5,47
7/24/2024,7.6,5.1,48
7/25/2024,7.8,5.1,49
7/26/2024,8,5.2,50
7/27/2024,8.1,5.2,51
7/28/2024,8.3,5.3,52
7/29/2024,8.4,5.3,53
7/30/2024,8.6,5.4,54
